N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
31,HMM,"21,550",150,+0.70%,"5,000","105,388","489,039",10.32,"991,593",0.92,88.62
32,두산에너빌리티,"16,300",200,-1.21%,"5,000","104,044","638,308",12.25,"3,064,170",326.00,10.67
33,SK텔레콤,"46,850",250,+0.54%,100,"102,523","218,833",45.29,"582,509",10.84,13.63
34,엔씨소프트,"466,000","10,500",-2.20%,500,"102,306","21,954",45.45,"57,933",17.30,12.62
35,현대중공업,"110,000","1,000",+0.92%,"5,000","97,650","88,773",6.33,"156,718",-13.75,-14.87
36,삼성화재,"206,000","5,500",+2.74%,500,"97,592","47,375",50.77,"86,295",9.00,7.09
37,S-Oil,"84,900",500,-0.59%,"2,500","95,583","112,583",79.94,"245,732",4.57,21.76
38,삼성에스디에스,"123,500",500,-0.40%,500,"95,562","77,378",13.55,"53,620",9.96,8.80
39,우리금융지주,"12,850",450,-3.38%,"5,000","93,556","728,061",40.39,"3,342,628",3.07,10.59
40,KT,"34,500",150,-0.43%,"5,000","90,084","261,112",43.04,"438,061",6.32,9.36
41,대한항공,"24,450",50,+0.20%,"5,000","90,030","368,221",16.26,"951,709",4.87,11.60
42,한화솔루션,"46,550",450,-0.96%,"5,000","89,040","191,278",25.92,"952,743",30.62,8.79
43,카카오페이,"66,400","4,400",-6.21%,500,"88,314","133,003",43.32,"1,186,193",-335.35,-2.45
44,아모레퍼시픽,"144,500","2,000",+1.40%,500,"84,522","58,493",25.36,"229,385",145.96,4.20
45,크래프톤,"170,000","5,500",-3.13%,100,"83,439","49,082",30.34,"215,309",12.41,17.86
46,기업은행,"10,450",100,-0.95%,"5,000","83,331","797,426",13.19,"811,523",3.19,9.21
47,하이브,"177,000","1,500",-0.84%,500,"73,195","41,353",14.58,"166,595",26.75,6.83
48,LG이노텍,"280,000","2,000",+0.72%,"5,000","66,268","23,667",24.11,"234,842",6.38,30.94
49,현대글로비스,"175,000","1,500",+0.86%,500,"65,625","37,500",47.85,"102,265",6.04,14.41
50,롯데케미칼,"187,000","4,500",+2.47%,"5,000","64,095","34,275",26.12,"138,370",30.58,9.87
51,메리츠화재,"53,400",400,+0.75%,500,"59,330","111,104",11.05,"294,956",7.09,26.12
52,SK바이오사이언스,"76,800","1,500",-1.92%,500,"58,970","76,784",4.60,"209,383",21.12,38.08
53,메리츠금융지주,"45,950","1,450",+3.26%,500,"58,619","127,572",5.03,"856,109",5.56,22.33
